,nav,cost,slippage,tax,turnover,n_holdings
2009-07-22,13278350.182237878,0.0,0.0,0.0,0.0,10
2009-07-23,13595906.544935621,0.0,0.0,0.0,0.0,10
2009-07-24,13717696.627760466,0.0,0.0,0.0,0.0,10
2009-07-27,13883362.893016893,0.0,0.0,0.0,0.0,10
2009-07-28,14147061.652095187,0.0,0.0,0.0,0.0,10
2009-07-29,14398089.417166688,0.0,0.0,0.0,0.0,10
2009-07-30,14465429.002354756,0.0,0.0,0.0,0.0,10
2009-07-31,14483605.550833791,0.0,0.0,0.0,0.0,10
2009-08-03,14868870.722534388,0.0,0.0,0.0,0.0,10
2009-08-04,14854145.07654947,0.0,0.0,0.0,0.0,10
2009-08-05,14777503.365572814,0.0,0.0,0.0,0.0,10
2009-08-06,14444317.655392114,0.0,0.0,0.0,0.0,10
2009-08-07,13949045.5668113,0.0,0.0,0.0,0.0,10
2009-08-10,13332674.3888847,0.0,0.0,0.0,0.0,10
2009-08-11,13388466.87244118,0.0,0.0,0.0,0.0,10
2009-08-12,13432684.051119354,0.0,0.0,0.0,0.0,10
2009-08-13,14051430.508753676,0.0,0.0,0.0,0.0,10
2009-08-14,13888738.815972157,0.0,0.0,0.0,0.0,10
2009-08-17,13308054.011090267,0.0,0.0,0.0,0.0,10
2009-08-18,13615869.555991437,0.0,0.0,0.0,0.0,10
2009-08-19,13433278.55367545,0.0,0.0,0.0,0.0,10
2009-08-20,13645672.170665592,0.0,0.0,0.0,0.0,10
2009-08-21,13844893.030227188,0.0,0.0,0.0,0.0,10
2009-08-24,14116228.996760584,0.0,0.0,0.0,0.0,10
2009-08-25,14164388.527989648,0.0,0.0,0.0,0.0,10
2009-08-26,14107444.66538662,0.0,0.0,0.0,0.0,10
2009-08-27,14225677.066876568,0.0,0.0,0.0,0.0,10
2009-08-28,14213414.149170633,0.0,0.0,0.0,0.0,10
2009-08-31,14255122.521947663,0.0,0.0,0.0,0.0,10
2009-09-01,14343400.934168119,0.0,0.0,0.0,0.0,10
2009-09-02,14339785.656741854,0.0,0.0,0.0,0.0,10
2009-09-03,14408770.35888027,0.0,0.0,0.0,0.0,10
2009-09-04,14606549.697093982,0.0,0.0,0.0,0.0,10
2009-09-07,15010967.514976338,0.0,0.0,0.0,0.0,10
2009-09-08,14904109.121744204,0.0,0.0,0.0,0.0,10
2009-09-09,14658379.031090844,0.0,0.0,0.0,0.0,10
2009-09-10,14446029.799130496,0.0,0.0,0.0,0.0,10
2009-09-11,14333176.11148528,0.0,0.0,0.0,0.0,10
2009-09-14,14440497.665503733,0.0,0.0,0.0,0.0,10
2009-09-15,14822544.712139815,0.0,0.0,0.0,0.0,10
2009-09-16,15078242.75471231,0.0,0.0,0.0,0.0,10
2009-09-17,15175756.84128552,0.0,0.0,0.0,0.0,10
2009-09-18,15352516.251794718,0.0,0.0,0.0,0.0,10
2009-09-22,15357652.900173131,0.0,0.0,0.0,0.0,10
2009-09-23,15237236.825027559,0.0,0.0,0.0,0.0,10
2009-09-24,15212554.006558258,0.0,0.0,0.0,0.0,10
2009-09-25,15176520.303420201,0.0,0.0,0.0,0.0,10
2009-09-29,15270996.411961604,0.0,0.0,0.0,0.0,10
2009-09-30,15517003.598300848,0.0,0.0,0.0,0.0,10
2009-10-01,15128574.491426667,28175.634815936006,24562.338176454352,542866.5187632871,19210956.813488927,10
2009-10-05,14863276.127795458,0.0,0.0,0.0,0.0,10
2009-10-06,14752827.640302831,0.0,0.0,0.0,0.0,10
2009-10-07,14942154.071434457,0.0,0.0,0.0,0.0,10
2009-10-08,15043527.46016,0.0,0.0,0.0,0.0,10
2009-10-09,14985056.265727513,0.0,0.0,0.0,0.0,10
2009-10-12,15212483.586702077,0.0,0.0,0.0,0.0,10
2009-10-13,15208772.409530332,0.0,0.0,0.0,0.0,10
2009-10-14,15835979.627653854,0.0,0.0,0.0,0.0,10
2009-10-15,15907067.14136037,0.0,0.0,0.0,0.0,10
2009-10-16,15772908.301525204,0.0,0.0,0.0,0.0,10
2009-10-20,15747030.529145058,0.0,0.0,0.0,0.0,10
2009-10-21,15562302.01121953,0.0,0.0,0.0,0.0,10
2009-10-22,15350254.313996185,0.0,0.0,0.0,0.0,10
2009-10-23,15481872.476878118,0.0,0.0,0.0,0.0,10
2009-10-26,15282050.96336664,0.0,0.0,0.0,0.0,10
2009-10-27,14775044.900637528,0.0,0.0,0.0,0.0,10
2009-10-28,14733506.255692905,0.0,0.0,0.0,0.0,10
2009-10-29,14746354.780595748,0.0,0.0,0.0,0.0,10
2009-10-30,14756861.989302898,0.0,0.0,0.0,0.0,10
2009-11-03,14403220.398705838,0.0,0.0,0.0,0.0,10
2009-11-04,14797090.150346484,0.0,0.0,0.0,0.0,10
2009-11-05,14986233.751684709,0.0,0.0,0.0,0.0,10
2009-11-06,15274153.230829641,0.0,0.0,0.0,0.0,10
2009-11-09,15536188.197279856,0.0,0.0,0.0,0.0,10
2009-11-10,15673263.983418697,0.0,0.0,0.0,0.0,10
2009-11-11,16159879.898231518,0.0,0.0,0.0,0.0,10
2009-11-12,15887499.56318438,0.0,0.0,0.0,0.0,10
2009-11-13,16023351.809687505,0.0,0.0,0.0,0.0,10
2009-11-16,16465198.788731067,0.0,0.0,0.0,0.0,10
2009-11-17,16611248.171267005,0.0,0.0,0.0,0.0,10
2009-11-18,16722802.312785508,0.0,0.0,0.0,0.0,10
2009-11-19,16498860.535943283,0.0,0.0,0.0,0.0,10
2009-11-20,16585902.371168645,0.0,0.0,0.0,0.0,10
2009-11-23,16720705.83988026,0.0,0.0,0.0,0.0,10
2009-11-24,16830818.664075673,0.0,0.0,0.0,0.0,10
2009-11-25,16949424.527340423,0.0,0.0,0.0,0.0,10
2009-11-26,16996076.726221427,0.0,0.0,0.0,0.0,10
2009-11-27,16776275.449033251,0.0,0.0,0.0,0.0,10
2009-11-30,17266220.123072386,0.0,0.0,0.0,0.0,10
2009-12-01,17499080.35502484,0.0,0.0,0.0,0.0,10
2009-12-02,17589966.579801265,0.0,0.0,0.0,0.0,10
