,nav,cost,slippage,tax,turnover,n_holdings
2003-09-08,2559586.8601087085,0.0,0.0,0.0,0.0,10
2003-09-09,2550210.116279947,0.0,0.0,0.0,0.0,10
2003-09-10,2472486.5688131596,0.0,0.0,0.0,0.0,10
2003-09-11,2466949.277098801,0.0,0.0,0.0,0.0,10
2003-09-12,2469650.3088638815,0.0,0.0,0.0,0.0,10
2003-09-15,2438129.684655594,0.0,0.0,0.0,0.0,10
2003-09-16,2461670.9448139663,0.0,0.0,0.0,0.0,10
2003-09-17,2495474.4690432367,0.0,0.0,0.0,0.0,10
2003-09-18,2528051.442119901,0.0,0.0,0.0,0.0,10
2003-09-19,2503373.4514250136,0.0,0.0,0.0,0.0,10
2003-09-22,2439065.369772438,0.0,0.0,0.0,0.0,10
2003-09-23,2503609.6579870363,0.0,0.0,0.0,0.0,10
2003-09-24,2428881.791261781,0.0,0.0,0.0,0.0,10
2003-09-25,2396426.189634781,0.0,0.0,0.0,0.0,10
2003-09-26,2343258.301242627,0.0,0.0,0.0,0.0,10
2003-09-29,2380392.5469399937,0.0,0.0,0.0,0.0,10
2003-09-30,2355508.0736853895,0.0,0.0,0.0,0.0,10
2003-10-01,2277922.851253323,91.37738832996112,8288.85823947254,117526.58513451737,3045912.944332037,10
2003-10-02,2380663.39956543,0.0,0.0,0.0,0.0,10
2003-10-03,2466442.2631814196,0.0,0.0,0.0,0.0,10
2003-10-06,2535567.684767059,0.0,0.0,0.0,0.0,10
2003-10-07,2570908.0514315274,0.0,0.0,0.0,0.0,10
2003-10-08,2549855.532044621,0.0,0.0,0.0,0.0,10
2003-10-09,2571393.3079512645,0.0,0.0,0.0,0.0,10
2003-10-10,2583919.4760122257,0.0,0.0,0.0,0.0,10
2003-10-13,2639951.870935871,0.0,0.0,0.0,0.0,10
2003-10-14,2716073.451315132,0.0,0.0,0.0,0.0,10
2003-10-15,2678574.2717149705,0.0,0.0,0.0,0.0,10
2003-10-16,2764789.4075923623,0.0,0.0,0.0,0.0,10
2003-10-17,2709588.9134635953,0.0,0.0,0.0,0.0,10
2003-10-20,2746308.895284699,0.0,0.0,0.0,0.0,10
2003-10-21,2851341.334126883,0.0,0.0,0.0,0.0,10
2003-10-22,2755939.9101041844,0.0,0.0,0.0,0.0,10
2003-10-23,2770088.541867974,0.0,0.0,0.0,0.0,10
2003-10-24,2746278.258717157,0.0,0.0,0.0,0.0,10
2003-10-27,2783487.052550213,0.0,0.0,0.0,0.0,10
2003-10-28,2947606.593707771,0.0,0.0,0.0,0.0,10
2003-10-29,3079066.2568908785,0.0,0.0,0.0,0.0,10
2003-10-30,3102587.628455992,0.0,0.0,0.0,0.0,10
2003-10-31,3023600.681662405,0.0,0.0,0.0,0.0,10
2003-11-03,3036236.364920809,0.0,0.0,0.0,0.0,10
2003-11-04,3104397.7658402165,0.0,0.0,0.0,0.0,10
2003-11-05,3058564.447683186,0.0,0.0,0.0,0.0,10
2003-11-06,3007276.0279357787,0.0,0.0,0.0,0.0,10
2003-11-07,3028365.86364056,0.0,0.0,0.0,0.0,10
2003-11-10,2967384.2080231328,0.0,0.0,0.0,0.0,10
2003-11-11,2911781.9568572394,0.0,0.0,0.0,0.0,10
2003-11-12,3027465.6907101492,0.0,0.0,0.0,0.0,10
2003-11-13,3008074.2724504285,0.0,0.0,0.0,0.0,10
2003-11-14,2909108.8968653088,0.0,0.0,0.0,0.0,10
2003-11-17,2858882.253092322,0.0,0.0,0.0,0.0,10
2003-11-18,2844477.1771757207,0.0,0.0,0.0,0.0,10
2003-11-19,2914707.337171088,0.0,0.0,0.0,0.0,10
2003-11-20,2892520.704524492,0.0,0.0,0.0,0.0,10
2003-11-21,2930637.1887285346,0.0,0.0,0.0,0.0,10
2003-11-24,3056476.6894027134,0.0,0.0,0.0,0.0,10
2003-11-25,3049005.1930031353,0.0,0.0,0.0,0.0,10
2003-11-26,3109258.4653588245,0.0,0.0,0.0,0.0,10
2003-11-28,3153881.150605045,0.0,0.0,0.0,0.0,10
2003-12-01,3224861.2175078057,0.0,0.0,0.0,0.0,10
2003-12-02,3197193.6368415966,0.0,0.0,0.0,0.0,10
2003-12-03,3082714.156915901,0.0,0.0,0.0,0.0,10
2003-12-04,3057232.652923179,0.0,0.0,0.0,0.0,10
2003-12-05,3041617.9256299296,0.0,0.0,0.0,0.0,10
2003-12-08,3047289.810019275,0.0,0.0,0.0,0.0,10
2003-12-09,3012948.0246608765,0.0,0.0,0.0,0.0,10
2003-12-10,2940206.4258160125,0.0,0.0,0.0,0.0,10
2003-12-11,3078033.8506467226,0.0,0.0,0.0,0.0,10
2003-12-12,3063124.6940658074,0.0,0.0,0.0,0.0,10
2003-12-15,2968536.908067283,0.0,0.0,0.0,0.0,10
2003-12-16,2933897.6225958113,0.0,0.0,0.0,0.0,10
2003-12-17,2941463.504025972,0.0,0.0,0.0,0.0,10
2003-12-18,3057455.3466513995,0.0,0.0,0.0,0.0,10
2003-12-19,3020957.3513920596,0.0,0.0,0.0,0.0,10
2003-12-22,3019861.8173259003,0.0,0.0,0.0,0.0,10
2003-12-23,3103534.6538604377,0.0,0.0,0.0,0.0,10
2003-12-24,3131646.398174898,0.0,0.0,0.0,0.0,10
2003-12-26,3189420.528876469,0.0,0.0,0.0,0.0,10
2003-12-29,3249096.3200817965,0.0,0.0,0.0,0.0,10
2003-12-30,3221599.823518929,0.0,0.0,0.0,0.0,10
2003-12-31,3157088.388407639,0.0,0.0,0.0,0.0,10
2004-01-02,2984996.1621710174,99.62658351779463,6076.132374817557,196500.97173959351,3320886.11725982,10
2004-01-05,3072039.895171031,0.0,0.0,0.0,0.0,10
2004-01-06,3122546.3980191657,0.0,0.0,0.0,0.0,10
2004-01-07,3147025.4658073867,0.0,0.0,0.0,0.0,10
2004-01-08,3169140.317226014,0.0,0.0,0.0,0.0,10
2004-01-09,3165332.5333545897,0.0,0.0,0.0,0.0,10
2004-01-12,3268741.3915608884,0.0,0.0,0.0,0.0,10
2004-01-13,3234020.012016324,0.0,0.0,0.0,0.0,10
2004-01-14,3258609.1276315222,0.0,0.0,0.0,0.0,10
2004-01-15,3256809.0521688294,0.0,0.0,0.0,0.0,10
2004-01-16,3351461.1007316275,0.0,0.0,0.0,0.0,10
2004-01-20,3409519.0280654207,0.0,0.0,0.0,0.0,10
2004-01-21,3288967.149755106,0.0,0.0,0.0,0.0,10
2004-01-22,3313929.0703049386,0.0,0.0,0.0,0.0,10
2004-01-23,3272113.6318049226,0.0,0.0,0.0,0.0,10
